,Date,User,Tweet,Likes,Retweets,Replies
89,2022-03-03 14:55:10+00:00,Poder_Liderazgo,[Opinión] Por más mujeres líderes en tecnología https://t.co/FqVeFL1ljq https://t.co/SFOFIEv1Uo @TheBridge_Tech https://t.co/kBo9xGdGrU,0,0,0
90,2022-03-03 14:54:32+00:00,Poder_Liderazgo,[Opinión] Por más mujeres líderes en tecnología - https://t.co/FqVeFL1ljq @TheBridge_Tech https://t.co/TE5sXsBaAT,0,0,0
91,2022-03-03 14:45:14+00:00,TheBridge_Tech,"@PICKYUAN @PagePersonnel Sentimos mucho el fallo técnico. Revisaremos que pudo pasar, pueden conectarse a próximos eventos o contactarnos si quieren más información sobre la escuela llamar al 919 01 72 57 ¡Gracias!",1,0,0
92,2022-03-02 18:25:08+00:00,PICKYUAN,"@TheBridge_Tech @PagePersonnel Mi hijo y yo nos apuntamos con muchos días de antelación
Hoy a las 7 nos conectamos y aparece el mensaje ""Enlace caducado"": no nos hemos podido conectar
Es una pena que, además de tener que recurrir a lo on-line, con la frialdad que supone, ocurran estos fallos técnicos
Muy mal",0,0,2
93,2022-03-02 08:34:22+00:00,TheBridge_Tech,"¡Empezamos el 21 de marzo en #Sevilla! No te puedes perder este taller de empleabilidad con el que arrancamos 🚀 Entradas: https://t.co/91M74qEah2
📅Hoy a las 19h
📍C/Isabela 1, Sevilla
@ENCamaraSevilla https://t.co/euWktCKqYp",1,0,0
94,2022-02-28 10:49:52+00:00,MyNews_es,"Toma contacto con el #marketingdigital de la mano de @TheBridge_Tech. Aprende a usar el contenido, el email, las redes sociales y la publicidad digital en este taller impartido por @jpereznavarrete📝

📅Jueves 3 de marzo, 18-19h (online)

#EventoDeLaSemana  #masterclass #MyNews",2,0,1
95,2022-02-28 08:23:30+00:00,TheBridge_Tech,Gracias @insidezeusdata y @vicencf por la jornada formativa ¡Fue toda una experiencia para nuestros alumnos de #Valencia! 🤗 https://t.co/CCJh9DGB2f,2,0,0
96,2022-02-25 13:15:24+00:00,insidezeusdata,"Nuestro PMO @vicencf da una clase a los alumnos de @TheBridge_Tech  en nuestras instalaciones 🚀

#bigdata #data #education https://t.co/jiskmovU0m",4,1,0
97,2022-02-25 11:02:36+00:00,TheBridge_Tech,"¡#Datascientist mirad esto! ⚽🏃 Cómo @LaLiga utiliza el dato y la inteligencia artificial (IA) para predecir cuáles son las mejores fechas para celebrar partidos, monitorizar la venta de entradas... ¡Interesante conocer su filial @LaLigaTech! https://t.co/HrEwHLEivh
#datascience",1,0,0
98,2022-02-25 07:59:12+00:00,TheBridge_Tech,¡Gracias a vosotros! Los alumnos se llevaron grandes consejos y una visión del mercado laboral en profesiones #tech desde la perspectiva de #seleccion y #recruitment 🤩 @PagePersonnelES @michaelpage_es https://t.co/GaG9M8PTOA,1,0,0
